focusPointDimens = {300, 250}
A1 = {2075, 1750}
A2 = {2425, 1750}
A3 = {2775, 1750}
B1 = {1725, 2055}
B2 = {2075, 2055}
B3 = {2425, 2055}
B4 = {2775, 2055}
C1 = {1725, 2360}
C2 = {2075, 2360}
C3 = {2425, 2360}
C4 = {2775, 2360}
D1 = {1725, 2665}
D2 = {2075, 2665}
D3 = {2425, 2665}
D4 = {2775, 2665}
E1 = {2075, 2970}
E2 = {2425, 2970}
E3 = {2775, 2970}
A7 = {4375, 1750}
A8 = {4725, 1750}
A9 = {5075, 1750}
B8 = {4375, 2055}
B9 = {4725, 2055}
B10 = {5075, 2055}
B11 = {5425, 2055}
C8 = {4375, 2360}
C9 = {4725, 2360}
C10 = {5075, 2360}
C11 = {5425, 2360}
D8 = {4375, 2665}
D9 = {4725, 2665}
D10 = {5075, 2665}
D11 = {5425, 2665}
E7 = {4375, 2970}
E8 = {4725, 2970}
E9 = {5075, 2970}
A4 = {3190, 1650}
A5 = {3565, 1650}
A6 = {3940, 1650}
B5 = {3190, 2005}
B6 = {3565, 2005}
B7 = {3940, 2005}
C5 = {3190, 2360}
C6 = {3565, 2360}
C7 = {3940, 2360}
D5 = {3190, 2715}
D6 = {3565, 2715}
D7 = {3940, 2715}
E4 = {3190, 3070}
E5 = {3565, 3070}
E6 = {3940, 3070}
